lat,lon
52.938,-124.938
52.938,-124.813
52.938,-124.688
52.938,-124.563
52.938,-124.438
52.938,-124.313
52.938,-124.188
52.938,-124.063
52.938,-123.938
52.938,-123.813
52.938,-123.688
52.938,-123.563
52.938,-123.438
52.938,-123.313
52.938,-123.188
52.938,-123.063
52.938,-122.938
52.938,-122.813
52.938,-122.688
52.938,-122.563
52.938,-122.438
52.938,-122.313
52.938,-122.188
52.938,-122.063
52.938,-121.938
52.938,-121.813
52.938,-121.688
52.938,-121.563
52.938,-121.438
52.938,-121.313
52.938,-121.188
52.938,-121.063
52.938,-120.938
52.938,-120.813
52.938,-120.688
52.938,-120.563
52.938,-120.438
52.938,-120.313
52.938,-120.188
52.938,-120.063
52.938,-119.938
52.938,-119.813
52.938,-119.688
52.938,-119.563
52.938,-119.438
52.938,-119.313
52.938,-119.188
52.938,-119.063
52.938,-118.938
52.938,-118.813
52.938,-118.688
52.938,-118.563
52.938,-118.438
52.938,-118.313
52.938,-118.188
52.938,-118.063
52.938,-117.938
52.938,-117.813
52.938,-117.688
52.938,-117.563
52.938,-117.438
52.938,-117.313
52.938,-117.188
52.938,-117.063
52.938,-116.938
52.938,-116.813
52.938,-116.688
52.938,-116.563
52.938,-116.438
52.938,-116.313
52.938,-116.188
52.938,-116.063
52.938,-115.938
52.938,-115.813
52.938,-115.688
52.938,-115.563
52.938,-115.438
52.938,-115.313
52.938,-115.188
52.938,-115.063
52.938,-114.938
52.938,-114.813
52.938,-114.688
52.938,-114.563
52.938,-114.438
52.938,-114.313
52.938,-114.188
52.938,-114.063
52.938,-113.938
52.938,-113.813
52.938,-113.688
52.938,-113.563
52.938,-113.438
52.938,-113.313
52.938,-113.188
52.938,-113.063
52.938,-112.938
52.938,-112.813
52.938,-112.688
52.938,-112.563
52.938,-112.438
52.938,-112.313
52.938,-112.188
52.938,-112.063
52.938,-111.938
52.938,-111.813
52.938,-111.688
52.938,-111.563
52.938,-111.438
52.938,-111.313
52.938,-111.188
52.938,-111.063
52.938,-110.938
52.938,-110.813
52.938,-110.688
52.938,-110.563
52.938,-110.438
52.938,-110.313
52.938,-110.188
52.938,-110.063
52.938,-109.938
52.938,-109.813
52.938,-109.688
52.938,-109.563
52.938,-109.438
52.938,-109.313
52.938,-109.188
52.938,-109.063
52.938,-108.938
52.938,-108.813
52.938,-108.688
52.938,-108.563
52.938,-108.438
52.938,-108.313
52.938,-108.188
52.938,-108.063
52.938,-107.938
52.938,-107.813
52.938,-107.688
52.938,-107.563
52.938,-107.438
52.938,-107.313
52.938,-107.188
52.938,-107.063
52.938,-106.938
52.938,-106.813
52.938,-106.688
52.938,-106.563
52.938,-106.438
52.938,-106.313
52.938,-106.188
52.938,-106.063
52.938,-105.938
52.938,-105.813
52.938,-105.688
52.938,-105.563
52.938,-105.438
52.938,-105.313
52.938,-105.188
52.938,-105.063
52.938,-104.938
52.938,-104.813
52.938,-104.688
52.938,-104.563
52.938,-104.438
52.938,-104.313
52.938,-104.188
52.938,-104.063
52.938,-103.938
52.938,-103.813
